time,seconds_elapsed,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1679068557658306600,310.459306640625,4.706999778747559,1.1698249578475952,100.03070068359375,591.0394992538388,8.5122654,47.4073402
1679068558163248400,310.9642482910156,4.668000221252441,1.1731250286102295,100.14180755615234,591.1359002691695,8.5122726,47.4073389
1679068558673260500,311.4742604980469,4.682000160217285,1.1687179803848267,99.77912902832031,591.1359002691695,8.512281,47.4073375
1679068559198285600,311.99928564453126,4.638000011444092,1.1456921100616455,99.15797424316406,591.1359002691695,8.5122892,47.4073361
1679068559723247400,312.52424731445313,4.642000198364258,1.1449836492538452,98.83529663085938,591.1359002691695,8.5122908,47.4073356
1679068560232251600,313.0332517089844,4.677999973297119,1.135363221168518,97.64595031738281,591.1359002691695,8.5123036,47.407334
1679068560796275700,313.59727563476565,4.676000118255615,1.1063803434371948,97.5112533569336,591.1380776009187,8.5123145,47.4073324
1679068561324169700,314.1251696777344,4.658999919891357,1.1031279563903809,98.22570037841797,591.1380776009187,8.5123175,47.4073317
1679068561849070600,314.6500705566406,4.670000076293945,1.0958448648452759,99.21165466308594,591.1380776009187,8.5123258,47.4073301
1679068562356274700,315.1572746582031,4.704999923706055,1.096196174621582,100.23941040039062,591.185979041272,8.5123319,47.4073286
1679068562883250700,315.6842507324219,4.708000183105469,1.1015316247940063,100.54507446289062,591.2774279993366,8.512338,47.4073275
1679068563445263600,316.246263671875,4.711999893188477,1.1014820337295532,100.84623718261719,591.2774279993366,8.512347,47.4073257
1679068563958262500,316.7592624511719,4.715000152587891,1.1069518327713013,100.85021209716797,591.4668611310587,8.512351,47.4073249
1679068565047251700,317.8482517089844,4.755000114440918,1.111077904701233,101.03085327148438,591.4668611310587,8.512366,47.4073226
1679068565574230500,318.37523046875,4.703000068664551,1.1035985946655273,101.45967102050781,591.5300064516607,8.5123821,47.4073202
1679068566079172600,318.88017260742185,4.710999965667725,1.1023333072662354,101.55791473388672,591.5234741552412,8.5123861,47.4073197
1679068566590221600,319.3912216796875,4.741000175476074,1.099805235862732,101.69256591796875,591.5234741552412,8.5123938,47.4073186
1679068567095225600,319.8962255859375,4.697000026702881,1.1000361442565918,101.76436614990234,591.5343613187447,8.5123979,47.4073178
1679068567642223600,320.4432236328125,4.7170000076293945,1.1006231307983398,101.6812515258789,591.6432337249728,8.5124064,47.4073163
1679068568683000000,321.484,4.703999996185303,1.105681300163269,101.53846740722656,591.6432337249728,8.5124161,47.4073146
1679068569216259600,322.0172595214844,4.697000026702881,1.109105110168457,101.44467163085938,591.8021899561724,8.5124249,47.4073132
1679068569781199600,322.58219970703124,4.693999767303467,1.1132797002792358,101.42525482177734,591.8021899561724,8.5124346,47.407312
1679068570304272600,323.1052727050781,4.686999797821045,1.1127963066101074,101.2884750366211,591.9823551983623,8.5124509,47.4073109
1679068570847239700,323.64823974609374,4.714000225067139,1.112672209739685,101.16487884521484,591.9823551983623,8.5124562,47.4073107
1679068571388256500,324.1892565917969,4.692999839782715,1.1136635541915894,100.83085632324219,592.0302612042419,8.5124651,47.4073105
1679068571933238500,324.73423852539065,4.7220001220703125,1.1166716814041138,100.64030456542969,592.0193734517936,8.5124715,47.4073101
1679068572459240700,325.26024072265625,4.757999897003174,1.1182281970977783,100.20706939697266,592.0193734517936,8.5124828,47.4073097
1679068572981200600,325.78220068359377,4.769999980926514,1.1200462579727173,99.99020385742188,591.9605798308933,8.5124878,47.4073094
1679068573528198700,326.32919873046876,4.7779998779296875,1.1197282075881958,99.6324462890625,591.9605798308933,8.5125012,47.4073088
1679068574057189600,326.85818969726563,4.785999774932861,1.122564435005188,99.52684783935547,591.9518696996113,8.5125046,47.4073088
1679068574586182700,327.3871826171875,4.801000118255615,1.1228615045547485,99.3138656616211,591.9518696996113,8.5125147,47.4073085
1679068575104528600,327.9055285644531,4.747000217437744,1.123070240020752,99.03620910644531,591.9518696996113,8.5125241,47.4073087
1679068575657165600,328.45816552734374,4.676000118255615,1.1120750904083252,98.51313781738281,591.9518696996113,8.5125432,47.4073083
1679068576182191600,328.9831916503906,4.60699987411499,1.1043431758880615,98.22830963134766,591.9605798308933,8.5125476,47.4073087
1679068576708130600,329.50913061523437,4.60699987411499,1.103305459022522,98.12568664550781,591.9605798308933,8.512554,47.4073084
1679068577216187600,330.01718774414064,4.534999847412109,1.0968008041381836,97.93766021728516,592.0280836526302,8.5125625,47.4073081
1679068577742187500,330.5431875,4.517000198364258,1.0930758714675903,97.93247985839844,592.067279667461,8.5125694,47.4073075
1679068578781188600,331.58218872070313,4.50600004196167,1.0923712253570557,97.94493103027344,592.067279667461,8.5125813,47.4073062
1679068579290162700,332.09116259765625,4.479000091552734,1.098168134689331,97.96080017089844,592.0585694262356,8.5125906,47.4073054
1679068579815185700,332.616185546875,4.4770002365112305,1.1030688285827637,98.00829315185547,592.0585694262356,8.5126005,47.4073046
1679068580361146600,333.1621467285156,4.507999897003174,1.1110249757766724,98.14261627197266,592.0716347914376,8.5126095,47.4073036
1679068580887145700,333.68814575195313,4.513000011444092,1.1152570247650146,98.27845764160156,592.067279667461,8.5126185,47.4073025
1679068581435181600,334.236181640625,4.514999866485596,1.1162919998168945,98.53861999511719,592.067279667461,8.5126262,47.4073014
1679068581961181700,334.762181640625,4.519999980926514,1.1172000169754028,98.90736389160156,592.0716347914376,8.5126339,47.4073002
1679068582490174700,335.2911748046875,4.544000148773193,1.1081401109695435,99.61495971679688,592.0716347914376,8.5126436,47.4072989
1679068582999144700,335.8001447753906,4.566999912261963,1.1027369499206543,100.1277084350586,592.2001119581954,8.5126464,47.4072983
1679068583527000000,336.328,4.565000057220459,1.081170678138733,103.20858001708984,592.2001119581954,8.5126527,47.4072972
1679068584103000000,336.904,4.5980000495910645,0.8675206899642944,120.27384948730469,592.2001119581954,8.5126665,47.4072919
1679068584617181000,337.4181809082031,4.6539998054504395,0.904608964920044,124.6781234741211,592.2697953060648,8.5126681,47.4072904
